parallel_fraction,num_gpus,speedup,max_speedup
0.5,1,1.000000,2.000000
0.5,2,1.333333,2.000000
0.5,4,1.600000,2.000000
0.5,8,1.777778,2.000000
0.5,16,1.882353,2.000000
0.75,1,1.000000,4.000000
0.75,2,1.600000,4.000000
0.75,4,2.285714,4.000000
0.75,8,2.909091,4.000000
0.75,16,3.368421,4.000000
0.9,1,1.000000,10.000000
0.9,2,1.818182,10.000000
0.9,4,3.076923,10.000000
0.9,8,4.705882,10.000000
0.9,16,6.400000,10.000000
0.95,1,1.000000,20.000000
0.95,2,1.904762,20.000000
0.95,4,3.478261,20.000000
0.95,8,5.925926,20.000000
0.95,16,9.142857,20.000000
0.99,1,1.000000,100.000000
0.99,2,1.980198,100.000000
0.99,4,3.883495,100.000000
0.99,8,7.476636,100.000000
0.99,16,13.913043,100.000000
